Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.MyDialogFragment,35,0,9,6
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.PadActivity,179,100,15,29
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.PaintView,265,137,26,48
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.CanvasFragment,117,56,8,25
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.MyDialogFragment,35,0,9,6
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.PadActivity,179,100,15,29
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.PaintView,265,137,26,48
72756b21a95e770e69ceae787a6264d8b024b3cf,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
fe22b986217a0d7639635e340ba243662ce8e7e2,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
fe22b986217a0d7639635e340ba243662ce8e7e2,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
fe22b986217a0d7639635e340ba243662ce8e7e2,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
fe22b986217a0d7639635e340ba243662ce8e7e2,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
